X,Y,OBJECTID,stop_id,stop_name,stop_lat,stop_lon,MetroID,Notes,Type
-89.40693696927157,43.072130688415925,1,91002,EB W JOHNSON fs ORCHARD,43.07213069,-89.40693697,581,Relo back from ns Charter,
-89.398722963318335,43.071970551746119,2,91003,EB W JOHNSON fs E CAMPUS MALL,43.07197055,-89.39872296,,,
-89.388293110634422,43.074697921255762,3,91005,EB STATE ns FAIRCHILD ,43.07469792,-89.38829311,883,,
-89.383649897683526,43.073429775755329,4,91006,EB MAIN fs CARROLL ,43.07342978,-89.3836499,1101,,
-89.381457869705869,43.076405813374244,5,91007,EB EAST WASH fs WEBSTER ,43.07640581,-89.38145787,1323,,
-89.375169500501599,43.080818744810237,6,91008,EB EAST WASH ns LIVINGSTON,43.08081875,-89.3751695,1927,,
-89.365827776006896,43.087385672068478,7,91010,EB EAST WASH fs BALDWIN ,43.08738567,-89.36582778,1883,Pull out if no bus lane,
-89.366643590234403,43.087233792944424,8,92010,WB EAST WASH fs BALDWIN ,43.08723379,-89.36664359,1730,,
-89.375139728823257,43.081282628706973,9,92008,WB EAST WASH ns LIVINGSTON,43.08128263,-89.37513973,1392,,
-89.382464149613938,43.076000476848208,10,92007,WB EAST WASH fs WEBSTER ,43.07600048,-89.38246415,1618,,
-89.384667221896564,43.075977030688065,11,92006,WB MIFFLIN fs PINCKNEY ,43.07597703,-89.38466722,1100,,
-89.389543616210716,43.074828770297145,12,92005,WB STATE ns W JOHNSON ,43.07482877,-89.38954362,898,,
-89.398831503816794,43.073339498909483,13,92003,WB UNIV AVE ns E CAMPUS MALL,43.0733395,-89.3988315,100,,
-89.407114928110317,43.073450026846857,14,92002,WB UNIV AVE op ORCHARD ,43.07345003,-89.40711493,178,,
-89.359346976899246,43.09197305210462,15,21001,EB EAST WASH ns FIRST ,43.09197305,-89.35934698,1241,,
-89.354093107913513,43.095903659585417,16,21002,EB EAST WASH ns FOURTH ,43.09590366,-89.35409311,1141,,
-89.348261404855208,43.100685664386567,17,21003,EB EAST WASH fs MILWAUKEE ,43.10068567,-89.3482614,1311,,
-89.341571332019484,43.104309901029069,18,21004,EB EAST WASH fs MARQUETTE ,43.1043099,-89.34157133,1481,,
-89.335303771359861,43.109409883096561,19,21005,EB EAST WASH fs RETHKE ,43.10940988,-89.33530377,9339,,
-89.329931983080712,43.120042045853708,20,21007,EB ANDERSON fs WRIGHT ,43.12004205,-89.32993198,9675,,
-89.321029136499092,43.118998616830652,21,21008,EB EAST WASH fs MENDOTA ,43.11899862,-89.32102914,9573,,
-89.313875986790961,43.123823045037177,22,21009,EB EAST WASH fs THIERER,43.12382305,-89.31387599,9587,Relo to far side,
-89.307025925980881,43.126437948317587,23,21010,EB E TOWNE RNG at SHELTER ,43.12643795,-89.30702593,9801,"Layover, probably have to lengthen bay",
-89.314916397430451,43.123614281594385,24,22009,WB EAST WASH ns PARKSIDE ,43.12361428,-89.3149164,9152,,
-89.321356674626998,43.119165629583357,25,22008,WB EAST WASH ns MENDOTA,43.11916563,-89.32135667,9554,"Ex stop is far side, if using 51, keep FS. Move near side for Mendota cutoff",
-89.329659842882023,43.120225413315872,26,22007,WB ANDERSON ns WRIGHT ,43.12022541,-89.32965984,9438,Relo east to allow for left turn,
-89.336337982403037,43.109015048162696,27,22005,WB E WASHINGTON AVE fs MELVIN,43.10901505,-89.33633798,9552,Relo to far side,
-89.341926563427933,43.104516152506726,28,22004,WB EAST WASH ns MARQUETTE ,43.10451615,-89.34192656,1938,Pull out if no bus lane,
-89.349167714349292,43.100146121373115,29,22003,WB EAST WASH fs NORTH ,43.10014612,-89.34916771,1112,,
-89.354071073385072,43.096388894475844,30,22002,WB EAST WASH ns FOURTH ,43.0963889,-89.35407107,1488,,
-89.360030977130549,43.091985052311877,31,22001,WB EAST WASH fs FIRST ,43.09198505,-89.36003098,1350,,
-89.363463701049426,43.093943461839316,32,41001,NB FORDEM fs JOHNSON,43.09394346,-89.3634637,1707,,
-89.36378397470385,43.107072050317434,33,41003,NB N SHERMAN fs COMMERCIAL,43.10707205,-89.36378397,1923,Relo to far side.  Number system skips 002 in case stop added south of Commercial.,
-89.36367197404067,43.114009048757524,34,41004,NB N SHERMAN ns ABERG ,43.11400905,-89.36367197,1341,Configuration of NTP to be determined,
-89.363563973224828,43.122459047310642,35,41006,NB N SHERMAN fs VAHLEN,43.12245905,-89.36356397,5407,Melrose stops moved south.  These were not included in feasibility study but may be needed.,
-89.363463972768344,43.126287047129757,36,41007,NB N SHERMAN op TRAILSWAY ,43.12628705,-89.36346397,5683,,
-89.363398677641726,43.128992314041447,37,41008,NB SHERMAN at WARNER PARK,43.12899231,-89.36339868,5823,,
-89.363679851516878,43.130013253227581,38,42008,SB SHERMANT at WARNER PARK,43.13001325,-89.36367985,5162,,
-89.363700972455035,43.126345047204289,39,42007,SB N SHERMAN ns TRAILSWAY ,43.12634505,-89.36370097,5382,,
-89.363754973311202,43.121811047918989,40,42006,SB N SHERMAN fs VAHLEN,43.12181105,-89.36375497,5358,Melrose stops moved south.  These were not included in feasibility study but may be needed.,
-89.363482617724557,43.113766223751725,41,42004,SB RELOCATED NORTH TRANSFER POINT,43.11376622,-89.36348262,1922,Configuration of NTP to be determined,
-89.363973973908628,43.107032050484982,42,42003,SB N SHERMAN ns COMMERCIAL,43.10703205,-89.36397397,1156,Number system skips 002 in case stop added south of Commercial.,
-89.363772545123012,43.093600964631328,43,42001,SB FORDEM fs JOHNSON,43.09360097,-89.36377255,,Relo to far side,
-89.401094966986491,43.06735205874142,44,31002,SB S PARK fs REGENT ,43.06735206,-89.40109497,546,,
-89.400940968259945,43.062929059721441,45,31003,SB S PARK fs VILAS ,43.06292906,-89.40094097,840,,
-89.400967967787238,43.059667059679882,46,31004,SB S PARK fs ERIN ,43.05966706,-89.40096797,288,,
-89.396374970577824,43.05364606065821,47,31005,SB S PARK fs OLIN,43.05364606,-89.39637497,360,Relo from near side Midland,
-89.394236970735321,43.04951806089457,48,31006,SB S PARK ns WINGRA,43.04951806,-89.39423697,124,Relo to near side,
-89.394231971396238,43.045855062023776,49,31007,SB S PARK op BRAM,43.04585506,-89.39423197,730,New stop,
-89.394200971979018,43.041560062907557,50,31008,SB S PARK fs BUICK ,43.04156006,-89.39420097,906,,
-89.394738972586993,43.039543062749736,51,31009,SB SOUTH TRANSFER POINT,43.03954306,-89.39473897,4100,Configuration of STP to be determined,
-89.403099970183632,43.038652063317159,52,31010,WB BADGER ns FISH HATCHERY,43.03865206,-89.40309997,782,"Relo to far side Catalpa, add bus bulb",
-89.409517968388187,43.031113065395189,53,31011,SB FISH HATCHERY fs GREENWAY ,43.03111307,-89.40951797,4622,,
-89.413070968475452,43.026273066182519,54,31012,SB FISH HATCHERY fs POST ,43.02627307,-89.41307097,4752,,
-89.420241966952673,43.020319067924852,55,31013,SB CAHILL ns CADDIS,43.02031907,-89.42024197,4699,Layover,
-89.419009966548415,43.019425067954515,56,32013,NB S FISH HATCHERY fs CADDIS ,43.01942507,-89.41900997,4707,,
-89.4122009686442,43.026849066218645,57,32012,NB FISH HATCHERY fs POST,43.02684907,-89.41220097,4523,Relo closer to intersection,
-89.408435274761402,43.031991828992354,58,32011,NB FISH HATCHERY fs GREENWAY,43.03199183,-89.40843527,4443,,
-89.403071970025337,43.038558063952124,59,32010,EB BADGER ns CATALPA ,43.03855806,-89.40307197,353,Add bus bulb,
-89.394955972380984,43.038928062816346,60,32009,NB SOUTH TRANSFER POINT,43.03892806,-89.39495597,4100,Configuration of STP to be determined,
-89.393835971558786,43.042038062350009,61,32008,NB S PARK fs BUICK,43.04203806,-89.39383597,475,,
-89.393889972149267,43.045921061885331,62,32007,NB S PARK at BRAM,43.04592106,-89.39388997,703,New stop,
-89.393924971874043,43.04942006157134,63,32006,NB S PARK fs WINGRA ,43.04942006,-89.39392497,745,,
-89.396625970392208,43.054409060185861,64,32005,NB S PARK fs OLIN ,43.05440906,-89.39662597,107,,
-89.400612968451966,43.060117059982765,65,32004,NB S PARK fs ERIN ,43.06011706,-89.40061297,251,,
-89.400623967805004,43.063734058971029,66,32003,NB S PARK fs WEST WASH ,43.06373406,-89.40062397,217,,
-89.400742967704943,43.06805505870944,67,32002,NB N PARK fs REGENT ,43.06805506,-89.40074297,115,,
-89.420528726439684,43.073990005438752,68,51001,WB CAMPUS at CHAMBERLAIN,43.07399001,-89.42052873,,"Construct new stops, platforms, and ped access, may be infeasible.",ext
-89.434590374396123,43.073891502225123,69,51002,WB UNIV AVE fs U BAY ,43.0738915,-89.43459037,2698,,
-89.44424766539926,43.07538054702794,70,51003,WB UNIV AVE fs SHOREWOOD ,43.07538055,-89.44424767,2714,Relo to far side,
-89.4516190615537,43.075487193188096,71,51004,WB UNIV AVE fs MIDVALE ,43.07548719,-89.45161906,2200,,
-89.457334361425936,43.073055666503173,72,51005,WB SHEBOYGAN fs SEGOE ,43.07305567,-89.45733436,2184,,
-89.464574567576989,43.072945477503112,73,51006,WB SHEBOYGAN fs EAU CLAIRE ,43.07294548,-89.46457457,2282,Bulb,
-89.472754121698856,43.061017004196508,74,53008,WEST TRANSFER POINT (RELOCATED),43.06101701,-89.47275412,,"Configuration of WTP to be determined, for Min Pt alignment only",alt
-89.478814552795114,43.060977569950829,75,53009,WB MINERAL PT fs ROSA ,43.06097757,-89.47881455,,,alt
-89.492335940368775,43.060932337713673,76,53010,WB MINERAL PT fs YELLOWSTONE ,43.06093234,-89.49233594,,,alt
-89.472263407066961,43.060543713431834,77,55008,SB WHITNEY fs MINERAL PT ,43.06054371,-89.47226341,2670,Only Odana would stop here,
-89.474227966594398,43.053848388482621,78,55009,WB WTP,43.05384839,-89.47422797,6100,Configuration of WTP to be determined,
-89.486423688709905,43.053705562410222,79,55010,WB ODANA fs RESEARCH PK ,43.05370556,-89.48642369,6188,,
-89.496697255638111,43.056714922938497,80,55011,WB ODANA fs GRND CANYON ,43.05671492,-89.49669726,6382,,
-89.503728615531116,43.057499585724109,81,55012,NB W TOWNE RNG at BANK,43.05749959,-89.50372862,,New stop,
-89.508296452433612,43.06078087175193,82,55013,WB MINERAL PT fs WESTFIELD ,43.06078087,-89.50829645,6426,For Odana only,
-89.517859933628756,43.060673066667064,83,51014,WB MINERAL PT fs HIGH PT ,43.06067307,-89.51785993,6166,,
-89.516930933979154,43.060385065810372,84,52014,EB MINERAL PT fs HIGHT PT,43.06038507,-89.51693093,,,
-89.507265352195347,43.060496880987728,85,54011,EB MINERAL PT fs WESTFIELD,43.06049688,-89.50726535,6755,Mineral Point route only,alt
-89.491560574392068,43.060645982757201,86,54010,EB MINERAL PT fs YELLOWSTONE ,43.06064598,-89.49156057,,,alt
-89.478030504735656,43.060699828955059,87,54009,EB MINERAL PT fs ROSA ,43.06069983,-89.4780305,,,alt
